,,train_name,station_name,station_code,id,train_number,departure
,,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,FM,302214,47154,07:55:00
,,Thrissur Guruvayur Passenger,THRISUR,TCR,281458,56044,18:55:00
,,Porbandar Muzaffarpur Express,PORBANDAR,PBR,309335,19269,15:05:00
,,RAIPUR ITWARI PASS,RAIPUR JN,R,283774,58205,13:30:00
,,Gomoh-Asansol MEMU,GOMOH JN,GMO,319937,63542,07:20:00
,,Rai Bareli-Mumbai LTT Saket Express,RAE BARELI JN,RBL,520605,21068,16:15:00
,,Subramanya Road Mangalore Passenger,Subrahmanya Road,SBHR,335930,56646,13:25:00
,,Ernakulam Alappuzha Passenger,ERNAKULAM JN,ERS,282535,56379,07:30:00
,,Salempur Barhaj Passenger,SALEMPUR JN,SRU,336174,55145,18:40:00
,,Bir Khandwa Shuttle,Bir,BIR,17022,51688,15:15:00
,,Asansol-Bokaro Steel City MEMU,ASANSOL JN,ASN,336193,63596,17:50:00
,,Tanakpur Aishbagh Express,Tanakpur,TPU,282465,52228,18:40:00
,,Botad Bhavnagar Passenger,BOTAD JN,BTD,336178,59227,21:10:00
,,Harihar Express,MUZAFFARPUR JN,MFP,168737,14523,07:25:00
,,Birmitrapur Barsuan Passenger,Biramitrapur,BRMP,336277,58151,07:10:00
,,Patan Mehsana Passenger,PATAN,PTN,299325,59478,17:05:00
,,Sealdah-Gede Local,KOLKATA SEALDAH,SDAH,336057,31929,20:32:00
,,Pipar Road -Jodhpur Passenger Special,PIPAR ROAD JN,PPR,11813,4857,06:50:00
,,Buxar Mughal Sarai Passenger,BUXAR,BXR,318164,53215,09:15:00
,,Howrah Panskura EMU,HOWRAH JN,HWH,299882,38453,17:50:00
,,Barddhaman Rampurhat Passenger,BARDDHAMAN JN,BWN,335911,53067,17:35:00
,,New Delhi-Sealdah AC Duronto Express,NEW DELHI,NDLS,41765,12260,20:05:00
,,Lingampalli Hyderabad MMTS,LINGAMPALLI,LPI,378369,47128,07:00:00
,,HYDERABAD DECCAN - AJMER SF Exp,HYDERABAD DECCAN,HYB,440052,12720,20:30:00
,,Kannur Passenger,MANGALORE CNTL,MAQ,335377,56656,16:35:00
,,Kandari Express,Digha Flag Station,DGHA,46378,18002,18:20:00
,,Doon Express,HOWRAH JN,HWH,320734,13009,20:35:00
,,Bxt Alipur Duar Passenger,NEW COOCH BEHAR,NCB,299907,55792,18:15:00
,,Poorvanchal Express,KOLKATA CHITPUR,KOAA,334956,15051,14:30:00
,,GAYA - CHENNAI EGMORE SF Exp,GAYA JN,GAYA,522700,12389,05:45:00
,,Chirmiri Katni Passenger,Chirmiri,CHRM,16433,51606,03:00:00
,,Ranchi - Lohardaga - Barkichampi Passenger,RANCHI,RNC,299912,58653,09:30:00
,,Belgaum Miraj Passenger,BELGAUM,BGM,16272,51462,06:00:00
,,Bir Khandwa Shuttle,Bir,BIR,17032,51690,19:15:00
,,Barauni-Hajipur Passenger,BARAUNI JN,BJU,332324,55549,22:40:00
,,Surat Virar Passenger,SURAT,ST,299922,59038,04:20:00
,,Sakri Nirmali Passenger,SAKRI JN,SKI,333312,52523,02:00:00
,,Ahmedabad Mumbai Central Superfast Special,AHMEDABAD JN,ADI,366170,9002,21:40:00
,,Bina Guna Passenger,BINA JN,BINA,16502,51609,15:10:00
,,Wardha Bhusaval Passenger,WARDHA JN,WR,14705,51198,23:00:00
,,Hyderabad Lingampalli MMTS,HYDERABAD DECCAN,HYB,334266,47124,21:20:00
,,VASCO DA GAMA - KULEM Passenger,VASCO DA GAMA,VSG,521211,56966,17:30:00
,,Ranchi-New Delhi Rajdhani Express,RANCHI,RNC,377475,12453,17:10:00
,,Palasa Visakhapatnam Passenger,PALASA,PSA,284291,58525,09:00:00
,,Krishak Express,LUCKNOW JN,LJN,334188,15008,23:05:00
,,KULEM - VASCO DA GAMA Passenger,KULEM,QLM,521223,56965,17:15:00
,,Guna Bina Passenger,GUNA,GUNA,16488,51608,10:45:00
,,Delhi-Jaisalmer Express,OLD DELHI,DLI,293725,14659,17:30:00
,,Nagbhir Nagpur Passenger,Nagbhir Junction,NAB,333836,58844,06:15:00
,,Ajmer Jaipur SF Special,AJMER JN,AII,6163,9621,11:45:00
,,Rajahmundry Vijayawada Passenger,RAJAMUNDRY,RJY,332018,57200,17:15:00
,,AJMER - HYDERABAD DECCAN SF Exp,AJMER JN,AII,439804,12719,17:40:00
,,Akola Purna Passenger,AKOLA JN,AK,331840,57581,06:00:00
,,Coimbatore Mumbai LTT Express,COIMBATORE JN,CBE,127842,11014,08:00:00
,,Lingampalli Falaknuma MMTS,LINGAMPALLI,LPI,329380,47173,06:20:00
,,Secunderabad Bodhan Passenger,SECUNDERABAD JN,SC,285796,57473,17:00:00
,,Mayiladuthurai-Villupuram Passenger,MAYILADUTURAI JN,MV,310956,56878,17:30:00
,,Rewa Bilaspur Fast Passenger,REWA,REWA,17085,51751,21:00:00
,,Rajmahal Tinpahar Passenger,Rajmahal,RJL,324880,53484,06:48:00
,,Howrah Panskura EMU,HOWRAH JN,HWH,298770,38419,09:25:00
,,Chennai Beach Tambaram EMU(12 Car),CHENNAI BEACH,MSB,319518,40001,04:20:00
,,Dibrugarh Guwahati Rajdhani Express,DIBRUGARH TOWN,DBRT,217871,2423,20:15:00
,,Falaknuma Lingampalli MMTS,KACHEGUDA FALAKNUMA,FM,348457,47155,09:10:00
,,Agartala Silchar Passenger,Agartala,AGTL,298582,52563,11:30:00
,,Miraj -Londa Passenger,MIRAJ JN,MRJ,15798,51431,06:10:00
